date,averageprice,totalvolume,totalbags,smallbags,largebags,xlargebags,type,region,price_category,year
2015-01-18,1.82,1403.1,500.0,500.0,0.0,0.0,organic,Jacksonville,High price,2015
2015-01-18,1.63,6032.31,813.33,813.33,0.0,0.0,organic,LasVegas,High price,2015
2015-01-18,1.29,43649.12,8541.34,8541.34,0.0,0.0,organic,LosAngeles,High price,2015
2015-01-18,1.79,1106.86,425.29,420.0,5.29,0.0,organic,Louisville,High price,2015
2015-01-18,1.87,1459.37,386.67,386.67,0.0,0.0,organic,Miami,High price,2015
2015-01-18,1.65,52559.1,12492.18,10971.43,1520.75,0.0,organic,Midsouth,High price,2015
2015-01-18,1.81,3118.58,892.49,773.33,119.16,0.0,organic,Nashville,High price,2015
2015-01-18,0.98,4739.17,4480.0,4480.0,0.0,0.0,organic,NewOrleans,Medium price,2015
2015-01-18,2.08,9204.78,1327.19,1327.19,0.0,0.0,organic,NewYork,High price,2015
2015-01-18,1.94,35304.15,20452.15,18457.1,1995.05,0.0,organic,Northeast,High price,2015
2015-01-18,1.88,7618.91,7049.63,7049.63,0.0,0.0,organic,NorthernNewEngland,High price,2015
2015-01-18,1.79,2151.76,883.33,883.33,0.0,0.0,organic,Orlando,High price,2015
2015-01-18,1.93,1699.0,689.13,689.13,0.0,0.0,organic,Philadelphia,High price,2015
2015-01-18,1.36,12251.87,473.33,473.33,0.0,0.0,organic,PhoenixTucson,High price,2015
2015-01-18,1.55,3448.42,2426.47,257.86,2168.61,0.0,organic,Pittsburgh,High price,2015
2015-01-18,1.8,29669.53,9818.59,8577.16,1241.43,0.0,organic,Plains,High price,2015
2015-01-18,1.24,51904.44,9926.86,303.33,9623.53,0.0,organic,Portland,High price,2015
2015-01-18,1.97,3496.27,1014.61,925.39,89.22,0.0,organic,RaleighGreensboro,High price,2015
2015-01-18,1.62,3480.66,845.21,583.33,261.88,0.0,organic,RichmondNorfolk,High price,2015
2015-01-18,1.48,5621.32,1046.89,626.3,420.59,0.0,organic,Roanoke,High price,2015
2015-01-18,1.13,37233.34,883.8,883.8,0.0,0.0,organic,Sacramento,High price,2015
2015-01-18,1.29,14473.73,1593.11,1593.11,0.0,0.0,organic,SanDiego,High price,2015
2015-01-18,1.27,41482.48,356.67,356.67,0.0,0.0,organic,SanFrancisco,High price,2015
2015-01-18,1.45,44616.23,8161.49,216.67,7944.82,0.0,organic,Seattle,High price,2015
2015-01-18,1.93,3024.32,1370.72,1346.0,24.72,0.0,organic,SouthCarolina,High price,2015
2015-01-18,1.27,65242.77,25985.46,25780.0,205.46,0.0,organic,SouthCentral,High price,2015
2015-01-18,1.79,25740.0,10971.03,10657.51,313.52,0.0,organic,Southeast,High price,2015
2015-01-18,1.44,4363.13,647.93,146.67,501.26,0.0,organic,Spokane,High price,2015
2015-01-18,1.92,2923.4,300.0,300.0,0.0,0.0,organic,StLouis,High price,2015
2015-01-18,1.84,627.8,476.34,476.34,0.0,0.0,organic,Syracuse,High price,2015
2015-01-18,1.73,1751.2,916.67,916.67,0.0,0.0,organic,Tampa,High price,2015
2015-01-18,1.42,713120.0,142968.56,101850.23,41118.33,0.0,organic,TotalUS,High price,2015
2015-01-18,1.33,251749.94,39743.83,7442.17,32301.66,0.0,organic,West,High price,2015
2015-01-18,1.71,5508.2,1635.84,1620.0,15.84,0.0,organic,WestTexNewMexico,High price,2015
2015-01-25,1.89,1115.89,952.3,952.3,0.0,0.0,organic,Albany,High price,2015
2015-01-25,1.87,3047.38,733.56,533.33,200.23,0.0,organic,Atlanta,High price,2015
2015-01-25,1.41,15387.74,1738.64,1738.64,0.0,0.0,organic,BaltimoreWashington,High price,2015
2015-01-25,1.82,1174.53,314.87,133.33,181.54,0.0,organic,Boise,High price,2015
2015-01-25,2.01,1948.28,1184.75,1184.75,0.0,0.0,organic,Boston,High price,2015
2015-01-25,1.6,1480.91,1373.92,1373.92,0.0,0.0,organic,BuffaloRochester,High price,2015
2015-01-25,1.3,121698.02,12529.65,12529.65,0.0,0.0,organic,California,High price,2015
2015-01-25,2.29,2694.11,469.68,469.68,0.0,0.0,organic,Charlotte,High price,2015
2015-01-25,1.83,10951.51,724.44,724.44,0.0,0.0,organic,Chicago,High price,2015
2015-01-25,1.26,10191.82,1821.2,377.77,1443.43,0.0,organic,CincinnatiDayton,High price,2015
2015-01-25,1.67,4847.86,846.74,293.33,553.41,0.0,organic,Columbus,High price,2015
2015-01-25,1.34,11247.71,2613.33,2613.33,0.0,0.0,organic,DallasFtWorth,High price,2015
2015-01-25,1.33,22502.5,9234.42,1202.57,8031.85,0.0,organic,Denver,High price,2015
2015-01-25,1.62,8703.74,912.82,60.0,852.82,0.0,organic,Detroit,High price,2015
2015-01-25,2.01,711.52,80.0,80.0,0.0,0.0,organic,GrandRapids,High price,2015
2015-01-25,1.63,59906.52,10969.72,6137.81,4831.91,0.0,organic,GreatLakes,High price,2015
2015-01-25,1.8,2171.91,1902.74,1902.74,0.0,0.0,organic,HarrisburgScranton,High price,2015
2015-01-25,2.21,1920.19,234.57,234.57,0.0,0.0,organic,HartfordSpringfield,High price,2015
2015-01-25,1.24,11398.91,806.67,806.67,0.0,0.0,organic,Houston,High price,2015
2015-01-25,1.78,1221.24,406.02,286.67,119.35,0.0,organic,Indianapolis,High price,2015
2015-01-25,1.88,1140.32,263.33,263.33,0.0,0.0,organic,Jacksonville,High price,2015
2015-01-25,1.66,5758.68,286.65,273.33,13.32,0.0,organic,LasVegas,High price,2015
2015-01-25,1.23,38078.07,8684.63,8684.63,0.0,0.0,organic,LosAngeles,High price,2015
2015-01-25,1.68,1201.46,457.41,216.67,240.74,0.0,organic,Louisville,High price,2015
2015-01-25,1.84,1648.84,530.0,530.0,0.0,0.0,organic,Miami,High price,2015
2015-01-25,1.63,54932.83,14444.88,11428.78,3016.1,0.0,organic,Midsouth,High price,2015
2015-01-25,1.71,4448.88,1684.61,850.0,834.61,0.0,organic,Nashville,High price,2015
2015-01-25,1.47,1278.14,1063.34,1063.34,0.0,0.0,organic,NewOrleans,High price,2015
2015-01-25,2.02,14337.32,2015.47,2015.47,0.0,0.0,organic,NewYork,High price,2015
2015-01-25,1.92,40358.44,20619.2,20455.66,163.54,0.0,organic,Northeast,High price,2015
2015-01-25,1.9,6757.39,6163.83,6163.83,0.0,0.0,organic,NorthernNewEngland,High price,2015
2015-01-25,1.82,1925.46,696.67,696.67,0.0,0.0,organic,Orlando,High price,2015
2015-01-25,1.82,2888.62,1271.83,1271.83,0.0,0.0,organic,Philadelphia,High price,2015
2015-01-25,1.54,10849.4,1132.73,1120.0,12.73,0.0,organic,PhoenixTucson,High price,2015
2015-01-25,1.7,1441.14,751.75,559.41,192.34,0.0,organic,Pittsburgh,High price,2015
2015-01-25,1.8,30207.8,11466.35,10403.58,1062.77,0.0,organic,Plains,High price,2015
2015-01-25,1.35,30862.91,4274.07,540.0,3734.07,0.0,organic,Portland,High price,2015
2015-01-25,2.02,3359.58,721.86,620.46,101.4,0.0,organic,RaleighGreensboro,High price,2015
2015-01-25,1.57,3860.33,1352.16,1002.65,349.51,0.0,organic,RichmondNorfolk,High price,2015
2015-01-25,1.47,5411.77,1160.21,759.28,400.93,0.0,organic,Roanoke,High price,2015
2015-01-25,1.44,9707.59,674.59,674.59,0.0,0.0,organic,Sacramento,High price,2015
2015-01-25,1.26,11132.08,1416.96,1416.96,0.0,0.0,organic,SanDiego,High price,2015
2015-01-25,1.34,27146.81,228.67,228.67,0.0,0.0,organic,SanFrancisco,High price,2015
2015-01-25,1.7,29354.75,5108.01,453.33,4654.68,0.0,organic,Seattle,High price,2015
2015-01-25,2.01,2865.92,1016.97,970.0,46.97,0.0,organic,SouthCarolina,High price,2015
2015-01-25,1.37,58961.59,15958.27,15613.33,344.94,0.0,organic,SouthCentral,High price,2015
2015-01-25,1.81,23809.3,10154.18,9640.0,514.18,0.0,organic,Southeast,High price,2015
2015-01-25,1.66,3313.55,372.79,226.67,146.12,0.0,organic,Spokane,High price,2015
2015-01-25,1.93,4131.86,573.33,573.33,0.0,0.0,organic,StLouis,High price,2015
2015-01-25,1.77,845.05,712.86,712.86,0.0,0.0,organic,Syracuse,High price,2015
